URL,Company,Summary,Keywords,Country,SuperSector,Search Keywords
https://it.wisc.edu/statement-on-use-of-generative-ai/,01 Communique Laboratory Inc.(OONEF),"UW-Madison Information TechnologyConnecting & supporting our digital campusSearchMenuopen menucloseStatement on use of generative AIVersion 2, published January 2, 2024Use of ChatGPT","('Generative AI', 'ChatGPT')",United States,Software,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.wolterskluwer.com/en/news/wolters-kluwer-unveils-generative-ai-labs-uptodate,01 Communique Laboratory Inc.(OONEF),"Wolters Kluwer is a global provider of professional information, software solutions, and services for clinicians, nurses, accountants, lawyers, and tax, finance, audit, risk, compliance, and regulatory sectors.We streamline legal and","('Generative AI',)",United States,Software,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.linkedin.com/pulse/part-one-introduction-generative-ai-its-potential-mike-mullins-uwxbc,01 Communique Laboratory Inc.(OONEF),"Generative AI is a subset of AI that focuses on systems capable of generating new content or data based on patterns and properties learned from input data . In this article, I will introduce you to generative AI and","('Generative AI', 'ChatGPT')",United States,Software,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.ftc.gov/news-events/news/press-releases/2024/01/ftc-launches-inquiry-generative-ai-investments-partnerships,01 Communique Laboratory Inc.(OONEF),FTC launches Inquiry into Generative AI Investments and Partnerships .Federal government websites often end in .gov or .mil . The Federal Trade Commission voted 3-0 to issue the Section,"('Generative AI',)",United States,Software,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.waterstechnology.com/emerging-technologies/7951563/generative-ai-is-here-to-stay-even-if-the-path-forward-is-unclear,01 Communique Laboratory Inc.(OONEF),"OpenAI’s ChatGPT offers a conversational interface where it can be asked a question, and it will answer with a human-speech-like response that it generates from connecting patterns based on its training","('ChatGPT', 'Generative AI', 'Chatbot', 'GPT-4', 'LLM')",United States,Software,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://statescoop.com/california-generative-ai-use-cases/,01 Communique Laboratory Inc.(OONEF),"California's AI task force completed its first report on the benefits and many risks posed by generative artificial intelligence .ByNovember 21, 2023California Gov. Gavin Newsom’s office announced a","('Generative AI',)",United States,Software,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.stocktitan.net/news/VCXAU/10x-capital-venture-acquisition-corp-ii-announces-new-date-for-7st6hxlcfk6h.html,10X Capital Venture Acquisition Corp. II Cl A(VCXA),. .,(),United States,Shell companies,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.linkedin.com/posts/lotanlevkowitz_generativeai-venturecapital-startups-activity-7110168050783444993-2rkR?trk=public_profile_like_view,10X Capital Venture Acquisition Corp. II Cl A(VCXA),"In a recent interview, I discussed the impact of generative AI on' portfolio companies, market dynamics, and new investment opportunities . Generative AI investments are also evolving rapidly, with a surge in both infrastructure and full-s","('Generative AI',)",United States,Shell companies,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://techcrunch.com/2023/03/28/generative-ai-venture-capital/,10X Capital Venture Acquisition Corp. II Cl A(VCXA),VCs have steadily increased their positions in generative AI from $408 million in 2018 to $4.8 billion in 2021 . Models like the open source text-generating GPT-Neo and text-to-image,"('Generative AI', 'ChatGPT')",United States,Shell companies,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
https://www.sec.gov/Archives/edgar/data/1383312/000138331223000059/0001383312-23-000059.txt,10X Capital Venture Acquisition Corp. II Cl A(VCXA),. .,(),United States,Shell companies,"['Chatbot', 'Generative AI', 'LLM', 'ChatGPT', 'Llama-2', 'BLOOMZ', 'GPT-4', 'GPT4', 'Stable Diffusion 2', 'PaLM 2', 'Claude 2', 'Jurrasic-2', 'Inflection-1', 'Titan Text']"
